employer_id,full_name,phone,email,employer_type,verification_status,location_id,created_at,updated_at
1,suleman,9886874454,suleman941@gmail.com,Individual,Verified,284,2025-09-09,2025-09-09
2,vineeta,9098039202,vineeta728@gmail.com,Individual,Verified,759,2025-01-17,2025-01-17
3,rajvi,7502860904,rajvi238@gmail.com,Business,Verified,583,2025-08-10,2025-08-10
4,shanah,6178533509,shanah593@gmail.com,Individual,Verified,361,2025-05-21,2025-05-21
5,shankarlal,9079387375,shankarlal157@gmail.com,Individual,Pending,770,2025-01-02,2025-01-02
6,jhagdoo,9810455853,jhagdoo924@gmail.com,Individual,Pending,341,2025-08-07,2025-08-07
7,rajeet,7082406788,rajeet187@gmail.com,Business,Pending,615,2025-03-25,2025-03-25
8,kokil,7743415416,kokil649@gmail.com,Business,Verified,323,2025-10-13,2025-10-13
9,jaibhagwan,6935099431,jaibhagwan521@gmail.com,Individual,Verified,356,2025-11-16,2025-11-16
10,vipol,9670379396,vipol957@gmail.com,Business,Pending,328,2025-11-01,2025-11-01
11,sukhavinder,8222059804,sukhavinder825@gmail.com,Individual,Verified,476,2025-01-05,2025-01-05
12,aslam,8814927320,aslam733@gmail.com,Individual,Pending,164,2025-02-20,2025-02-20
13,daya,9139535164,daya614@gmail.com,Individual,Verified,150,2025-08-03,2025-08-03
14,roopa,9593514760,roopa668@gmail.com,Individual,Verified,558,2025-01-28,2025-01-28
15,priyansu,6052036981,priyansu591@gmail.com,Individual,Verified,350,2025-11-06,2025-11-06
16,sunita,9387053754,sunita197@gmail.com,Household,Verified,566,2025-01-09,2025-01-09
17,chhagana,6230442151,chhagana822@gmail.com,Individual,Verified,216,2025-03-15,2025-03-15
18,edris,6531856918,edris219@gmail.com,Business,Verified,672,2025-10-07,2025-10-07
19,mahfooz,8409559900,mahfooz675@gmail.com,Individual,Pending,547,2025-10-27,2025-10-27
20,liladevi,7601656913,liladevi563@gmail.com,Individual,Verified,694,2025-05-20,2025-05-20
21,mansi,8027852150,mansi330@gmail.com,Household,Verified,74,2025-01-27,2025-01-27
22,sohanpal,8070569550,sohanpal871@gmail.com,Individual,Verified,608,2025-09-03,2025-09-03
23,rozina,9624603570,rozina286@gmail.com,Individual,Verified,526,2025-11-14,2025-11-14
24,udaiy,8493568583,udaiy725@gmail.com,Individual,Verified,654,2025-04-10,2025-04-10
25,priyaki,9343801341,priyaki728@gmail.com,Business,Verified,62,2025-03-12,2025-03-12
26,raman,6404073544,raman394@gmail.com,Individual,Verified,14,2025-02-28,2025-02-28
27,khima,8666730244,khima651@gmail.com,Business,Pending,429,2025-07-08,2025-07-08
28,ajad,9981245480,ajad367@gmail.com,Individual,Verified,540,2025-08-28,2025-08-28
29,aashik,8579293709,aashik122@gmail.com,Household,Verified,183,2025-06-29,2025-06-29
30,asruddin,6657555374,asruddin254@gmail.com,Business,Verified,391,2025-08-22,2025-08-22
31,manikchand,9494931123,manikchand766@gmail.com,Business,Verified,336,2025-01-13,2025-01-13
32,sangeeta,8380057468,sangeeta181@gmail.com,Individual,Verified,460,2025-08-13,2025-08-13
33,goldi,7921657527,goldi676@gmail.com,Household,Verified,21,2025-01-12,2025-01-12
34,pratap,7512569956,pratap927@gmail.com,Individual,Verified,375,2025-01-26,2025-01-26
35,mammta,6446457852,mammta164@gmail.com,Household,Verified,781,2025-09-25,2025-09-25
36,darshana,6863369336,darshana523@gmail.com,Individual,Verified,644,2025-12-30,2025-12-30
37,chhatar,9460859705,chhatar601@gmail.com,Business,Pending,278,2025-02-28,2025-02-28
38,pawansingh,6013095950,pawansingh435@gmail.com,Individual,Verified,727,2025-02-28,2025-02-28
39,jitender,9125602490,jitender348@gmail.com,Individual,Verified,714,2025-03-01,2025-03-01
40,aashiya,8623588529,aashiya696@gmail.com,Individual,Verified,722,2025-04-22,2025-04-22
41,samer,7111599922,samer820@gmail.com,Household,Verified,192,2025-11-09,2025-11-09
42,jagjiwan,9734550481,jagjiwan615@gmail.com,Individual,Verified,277,2025-08-26,2025-08-26
43,juvel,8121865848,juvel152@gmail.com,Individual,Verified,524,2025-12-23,2025-12-23
44,bobi,7477312186,bobi263@gmail.com,Individual,Verified,303,2025-02-09,2025-02-09
45,randheer,8838856648,randheer813@gmail.com,Business,Pending,170,2025-11-18,2025-11-18
46,umar,8800818840,umar480@gmail.com,Household,Verified,134,2025-10-16,2025-10-16
47,uday,9145332588,uday478@gmail.com,Household,Verified,733,2025-03-06,2025-03-06
48,monika,9578306818,monika813@gmail.com,Individual,Verified,272,2025-03-30,2025-03-30
49,pyari,9504951675,pyari244@gmail.com,Individual,Verified,273,2025-10-27,2025-10-27
50,ashok,8361158896,ashok745@gmail.com,Household,Verified,32,2025-03-16,2025-03-16
51,ankur,8300953470,ankur788@gmail.com,Household,Verified,300,2025-07-26,2025-07-26
